slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
bjeline01,Nemanja Bjelica,POWER FORWARD,30,SACRAMENTO KINGS,77,70,1788,284,593,103,257,70,92,125,319,147,54,56,82,197
blakean01,Antonio Blakeney,SHOOTING GUARD,22,CHICAGO BULLS,57,3,829,166,396,36,91,50,76,7,99,42,12,9,35,41
bledser01,Eric Bledsoe,POINT GUARD,29,MILWAUKEE BUCKS,78,78,2272,470,971,124,377,177,236,82,280,430,116,29,165,156
blossja01,Jaron Blossomgame,SMALL FORWARD,25,CLEVELAND CAVALIERS,27,4,439,47,106,10,39,10,13,26,72,13,7,8,11,20
bogdabo01,Bogdan Bogdanović,SHOOTING GUARD,26,SACRAMENTO KINGS,70,17,1947,361,863,134,372,134,162,40,203,267,72,15,117,142
bogdabo02,Bojan Bogdanović,SMALL FORWARD,29,INDIANA PACERS,81,81,2573,522,1051,164,386,246,305,33,300,161,69,1,134,138
bogutan01,Andrew Bogut,CENTER,34,GOLDEN STATE WARRIORS,11,5,134,18,36,0,0,3,3,12,43,11,3,8,8,22
boldejo01,Jonah Bolden,POWER FORWARD,23,PHILADELPHIA 76ERS,44,10,639,80,162,34,96,13,27,47,118,40,17,39,36,99
bongais01,Isaac Bonga,POINT GUARD,19,LOS ANGELES LAKERS,22,0,120,5,33,0,8,9,15,9,16,15,9,4,6,9
bookede01,Devin Booker,SHOOTING GUARD,22,PHOENIX SUNS,64,64,2242,586,1255,135,414,393,454,39,226,433,56,13,264,200
bouchch01,Chris Boucher,POWER FORWARD,26,TORONTO RAPTORS,28,0,163,34,76,12,37,13,15,16,40,2,6,24,7,31
bradlav01,Avery Bradley,SHOOTING GUARD,28,LOS ANGELES CLIPPERS,49,49,1463,161,420,58,172,20,25,35,96,96,27,16,61,133
bradlav01,Avery Bradley,SHOOTING GUARD,28,MEMPHIS GRIZZLIES,14,14,442,87,188,28,73,23,25,8,36,56,14,0,28,34
bradlto01,Tony Bradley,CENTER,21,UTAH JAZZ,3,0,36,8,16,0,0,1,2,9,6,1,2,2,3,6
breweco01,Corey Brewer,SMALL FORWARD,32,PHILADELPHIA 76ERS,7,3,140,20,49,4,14,9,13,4,13,10,12,2,8,16
breweco01,Corey Brewer,SMALL FORWARD,32,SACRAMENTO KINGS,24,0,352,33,74,10,30,22,30,22,37,29,20,5,11,47
bridgmi01,Mikal Bridges,SMALL FORWARD,22,PHOENIX SUNS,82,56,2417,242,563,105,313,95,118,56,208,173,129,38,70,201
bridgmi02,Miles Bridges,SMALL FORWARD,20,CHARLOTTE HORNETS,80,25,1696,237,511,65,200,58,77,67,256,95,55,49,50,111
briscis01,Isaiah Briscoe,POINT GUARD,22,ORLANDO MAGIC,39,0,559,55,138,11,34,15,26,5,69,87,11,2,31,66
broekry01,Ryan Broekhoff,SHOOTING GUARD,28,DALLAS MAVERICKS,42,0,453,57,126,38,93,15,19,8,55,22,6,4,16,35
brogdma01,Malcolm Brogdon,SHOOTING GUARD,26,MILWAUKEE BUCKS,64,64,1832,378,748,104,244,141,152,65,223,205,46,13,91,102
brookdi01,Dillon Brooks,SMALL FORWARD,23,MEMPHIS GRIZZLIES,18,0,330,49,122,15,40,22,30,9,22,16,10,4,19,50
brookma01,MarShon Brooks,SHOOTING GUARD,30,MEMPHIS GRIZZLIES,29,0,387,76,169,15,54,23,33,12,33,25,9,4,21,33
brownbr01,Bruce Brown,SHOOTING GUARD,22,DETROIT PISTONS,74,56,1449,125,314,24,93,45,60,48,137,91,40,36,46,178
brownja02,Jaylen Brown,SHOOTING GUARD,22,BOSTON CELTICS,74,25,1913,368,792,95,276,133,202,65,248,100,69,32,99,186
brownlo01,Lorenzo Brown,POINT GUARD,28,TORONTO RAPTORS,26,0,212,23,71,6,28,3,3,5,26,28,12,5,16,22
brownst02,Sterling Brown,SHOOTING GUARD,23,MILWAUKEE BUCKS,58,7,1034,145,312,53,147,29,42,29,155,84,25,8,46,88
browntr01,Troy Brown,SMALL FORWARD,19,WASHINGTON WIZARDS,52,10,730,97,234,22,69,32,47,35,110,80,21,5,30,56
brunsja01,Jalen Brunson,POINT GUARD,22,DALLAS MAVERICKS,73,38,1591,264,565,63,181,87,120,25,144,230,37,4,88,127
bryanth01,Thomas Bryant,CENTER,21,WASHINGTON WIZARDS,72,53,1496,309,502,33,99,107,137,113,341,92,25,67,60,126
bullore01,Reggie Bullock,SHOOTING GUARD,27,DETROIT PISTONS,44,44,1355,182,441,114,294,56,64,20,103,109,24,5,54,79
bullore01,Reggie Bullock,SHOOTING GUARD,27,LOS ANGELES LAKERS,19,16,524,63,153,34,99,17,21,2,48,20,16,7,11,30
burketr01,Trey Burke,POINT GUARD,26,NEW YORK KNICKS,33,7,689,148,358,30,86,62,75,15,47,94,21,5,29,33
