Name,TeamAbbreviation,GamesPlayed,Minutes,Assists,AssistPoints,2ptAssists,3ptAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Corner3Assists,Arc3Assists,season,season_type
LeBron James,CLE,82,3026,9.109756097560977,22.414634146341466,4.914634146341464,4.1951219512195115,3.475609756097561,0.6707317073170732,0.7682926829268293,1.5853658536585369,2.609756097560976,2017-18,regular season
Khris Middleton,MIL,82,2982,4.0,9.24390243902439,2.756097560975609,1.2439024390243902,2.1219512195121952,0.3780487804878049,0.25609756097560976,0.4634146341463415,0.7804878048780488,2017-18,regular season
Andrew Wiggins,MIN,82,2979,1.951219512195122,4.646341463414634,1.2073170731707317,0.7439024390243902,0.6829268292682927,0.2682926829268293,0.25609756097560976,0.2804878048780488,0.4634146341463415,2017-18,regular season
Bradley Beal,WAS,82,2977,4.548780487804878,10.707317073170731,2.9390243902439024,1.6097560975609757,1.4756097560975612,0.9146341463414634,0.5487804878048781,0.451219512195122,1.1585365853658536,2017-18,regular season
Jrue Holiday,NOP,81,2927,6.0,14.074074074074074,3.9259259259259265,2.074074074074074,2.567901234567901,0.8641975308641975,0.4938271604938271,0.6049382716049383,1.469135802469136,2017-18,regular season
CJ McCollum,POR,81,2923,3.3580246913580245,8.012345679012345,2.061728395061728,1.2962962962962965,1.3333333333333333,0.3580246913580247,0.3703703703703704,0.3950617283950617,0.9012345679012346,2017-18,regular season
Karl-Anthony Towns,MIN,82,2918,2.426829268292683,5.560975609756096,1.7195121951219512,0.7073170731707317,0.9878048780487804,0.3780487804878049,0.35365853658536583,0.2195121951219512,0.4878048780487805,2017-18,regular season
Russell Westbrook,OKC,80,2914,10.25,24.375,6.375,3.875,4.6375,1.0375,0.7,1.075,2.8,2017-18,regular season
Paul George,OKC,79,2891,3.3291139240506333,7.924050632911393,2.0632911392405062,1.2658227848101269,1.4177215189873418,0.3670886075949367,0.27848101265822783,0.5063291139240507,0.7594936708860759,2017-18,regular season
Giannis Antetokounmpo,MIL,75,2756,4.8133333333333335,11.92,2.52,2.293333333333333,1.6266666666666667,0.4533333333333333,0.44,0.7866666666666666,1.5066666666666666,2017-18,regular season
Kemba Walker,CHA,80,2736,5.55,12.9375,3.7125,1.8375,2.1375,0.825,0.75,0.4125,1.425,2017-18,regular season
